indice_tiempo,agricultura_ganaderia_caza_silvicultura,pesca,explotacion_minas_canteras,industrias_manufactureras,suministro_electricidad_gas_agua,construccion,comercio_reparaciones,hoteles_restaurantes,transporte_almacenamiento_comunicaciones,intermediacion_financiera,actividades_inmobiliarias_empresariales_alquiler,ensenianza,servicios_sociales_salud,otras_actividades_servicios_comunitarias_soc_personales,total
2005-04-01,706.0,2964.0,3574.0,1552.0,2352.0,1040.0,1043.0,847.0,1585.0,2236.0,1095.0,736.0,1140.0,1125.0,1242.0
2005-05-01,711.0,3031.0,3542.0,1542.0,2361.0,1004.0,1045.0,841.0,1627.0,2359.0,1079.0,747.0,1157.0,1134.0,1247.0
2005-06-01,703.0,3018.0,3614.0,1553.0,2339.0,973.0,1035.0,830.0,1645.0,2525.0,1088.0,756.0,1177.0,1136.0,1251.0
2005-07-01,727.0,2665.0,3643.0,1587.0,2385.0,1006.0,1117.0,842.0,1666.0,2472.0,1128.0,756.0,1202.0,1170.0,1288.0
2005-08-01,735.0,2158.0,3714.0,1615.0,2436.0,1020.0,1161.0,850.0,1693.0,2474.0,1157.0,803.0,1195.0,1184.0,1313.0
2005-09-01,729.0,2529.0,3914.0,1705.0,2504.0,1085.0,1181.0,850.0,1729.0,2654.0,1197.0,821.0,1220.0,1193.0,1357.0
2005-10-01,801.0,2596.0,3931.0,1702.0,2581.0,1035.0,1197.0,891.0,1776.0,2544.0,1172.0,837.0,1274.0,1237.0,1366.0
2005-11-01,794.0,3208.0,4219.0,1749.0,2609.0,1090.0,1218.0,922.0,1831.0,2678.0,1236.0,856.0,1341.0,1269.0,1413.0
2005-12-01,785.0,3369.0,4228.0,1759.0,2674.0,1093.0,1234.0,953.0,1851.0,2663.0,1240.0,888.0,1344.0,1294.0,1428.0
2006-01-01,794.0,3532.0,4222.0,1807.0,2722.0,1135.0,1235.0,1028.0,1895.0,2669.0,1252.0,882.0,1379.0,1300.0,1449.0
2006-02-01,807.0,4233.0,4398.0,1796.0,2764.0,1143.0,1244.0,1030.0,1906.0,2893.0,1271.0,912.0,1392.0,1312.0,1465.0
2006-03-01,813.0,4235.0,4247.0,1868.0,2819.0,1156.0,1252.0,1049.0,1945.0,2657.0,1289.0,934.0,1417.0,1335.0,1484.0
2006-04-01,820.0,4072.0,4117.0,1858.0,2777.0,1171.0,1275.0,1057.0,2055.0,2826.0,1305.0,938.0,1446.0,1374.0,1509.0
2006-05-01,881.0,4205.0,4734.0,1855.0,2798.0,1193.0,1306.0,1065.0,2045.0,2794.0,1348.0,955.0,1494.0,1394.0,1539.0
2006-06-01,902.0,4263.0,4712.0,1902.0,2858.0,1245.0,1308.0,1078.0,2087.0,2801.0,1359.0,997.0,1517.0,1414.0,1559.0
2006-07-01,917.0,4786.0,4579.0,1985.0,2960.0,1268.0,1320.0,1059.0,2111.0,2899.0,1363.0,981.0,1518.0,1424.0,1592.0
2006-08-01,921.0,4806.0,4656.0,1996.0,2936.0,1297.0,1360.0,1070.0,2150.0,2881.0,1404.0,988.0,1546.0,1455.0,1614.0
2006-09-01,921.0,4455.0,4765.0,2030.0,3064.0,1348.0,1371.0,1099.0,2163.0,2891.0,1414.0,1013.0,1581.0,1480.0,1637.0
2006-10-01,938.0,4576.0,4626.0,2018.0,3074.0,1329.0,1393.0,1108.0,2172.0,2966.0,1434.0,1020.0,1579.0,1509.0,1644.0
2006-11-01,946.0,3809.0,4905.0,2054.0,3074.0,1367.0,1414.0,1129.0,2205.0,2955.0,1456.0,1037.0,1597.0,1525.0,1669.0
2006-12-01,959.0,4521.0,4863.0,2088.0,3196.0,1372.0,1440.0,1154.0,2236.0,2996.0,1481.0,1067.0,1597.0,1551.0,1700.0
2007-01-01,976.0,4949.0,4978.0,2115.0,3230.0,1412.0,1463.0,1155.0,2271.0,3158.0,1488.0,1075.0,1667.0,1573.0,1727.0
2007-02-01,990.0,4625.0,4919.0,2130.0,3251.0,1447.0,1484.0,1196.0,2298.0,3349.0,1505.0,1085.0,1720.0,1589.0,1749.0
2007-03-01,999.0,5450.0,5431.0,2202.0,3518.0,1467.0,1504.0,1198.0,2334.0,3114.0,1533.0,1115.0,1792.0,1603.0,1785.0
2007-04-01,1014.0,5296.0,5266.0,2210.0,3330.0,1473.0,1525.0,1227.0,2383.0,3237.0,1565.0,1153.0,1765.0,1626.0,1808.0
